conversation,class
팀장님 아니거 언제까지 마무리 하면 될까마무리?이무리하지됐고말고 넉넉하게 주말까지아직다 작성해주시면까지됩니다? 님. . 알겠습니다다 요 했나요? 아뇨 주말까지라고 하셔서다아직 다 한테했는데. 네? 늦어지게 까지 하면 어떡합니까 내가과장 못 오늘못 하라고 다해달라했는데 전달 못받았어요 죄송해요?오늘까지요?아. 팀장님.네.제 전달에 까지했어요 자리을 없더라구요. 아 과장못아 오늘가 말 마무리해서 보내요 아 퇴근 생겼네,직장 내 괴롭힘 대화
"내일 로 것? 온다던데그래야겠다 우산?챙겨가야 어떻대 같아. 에이? 야외 . 계획했는데 날씨할에다른만날까날로 미루는 게 어때? . 에는아쉽다서활동.좋아! 그럼 토요일 미루자. 오전 몇 시 비 토요일 11시 어때, 점심도 먹고. 완벽해!같이어디서 만날까? 시내.광장에서주말보자. 거기맑다던데 출발하기 좋을 것 같아.",일반 대화
존재 쟤 에 봐. 따고꼴좀하고유행하는그만해줘 못 호박에 입었네긋는다고 되나 으엑. 못생겼어옷들리라고다 줄. . 그럼 하는 소리수박들리거든 내가 뭘 잘못했는데. 니 야 자체가! 쟤는지못생기고 찐 없어서공부도 친구도 전교 찐따래요,기타 괴롭힘 대화
"오늘 공교육 내용 이해했어? 솔직히 좀 어려웠어. 너는? 나도 몇 부분이 헷갈리더라고. 다음 주에 시험이라던데 걱정이다. 그러게. 우리 주말에 같이 공부할래? 좋은 생각이야! 토요일은 어때? 나한테 딱 좋아. 몇 시에 만날까? 오전 10시에 도서관은 어떨까? 좋아! 내가 간식 좀 준비해갈게. 고마워, 나는 노트 정리해서 가져갈게.",일반 대화
자네 내일 아침에 우리집 들려서 출근하게 네? 내가 차가 고장났어 아. 그런데 실장님 댁이랑 저희집은 반대방향이라서 제가 차막힐거 고려해서 5시에는 나와야할것같은데. 그래서 조금 힘들다? 제가 그방면에 사는 사람잡 있는지 알아보겠습니다 아니 됐네 내가 기분잡 상해서 그냥 새벽3시부터 나와서 걸어오겠네 그런말씀잡아니라. 자네가 직속상사인 나를 태우기 싫어하는데 다른 직원이라도 비슷하겠지 내 알아서 오겠네! 아. 아닙니다.제가 가겠습니다,직장 내 괴롭힘 대화
.내가 뭘 하면 되는데? 아무것도. 아무거나 상관없어 내가 지불 다 할게. 제발 이러지마.응? 자아 지금 아니. 난 너한테 아무것 구리다 도 안 바라. 네가 무슨 짓을 번 하든지 너는 오늘 내손에 죽을거야. 도대체 나한테 왜 이러는건데? 그걸 몰라서 물어? 너 진짜 뻔뻔하다. 그래 나 뻔 비운 뻔해 재물 . 그러니까 이렇게 주 다 예지 속 품행 내려놓고 빌지. 손 춘추 그런다고 내 맘이 변할 것 같아? 어림도 없어. 넌 나한테 지옥이었어. 너도 속 가운데 곧 읍 매 지옥을 맛 보게 범위 될거야. 진짜로 지옥에 간다면 더할나위 없이 좋겠네. 이런 짓을 소지 하고 너라고 해 무사할 난초 것 방조 반제 같아 번 ? 점령 상관없어. 가운데 행세 너를 지옥으로 보낼 수만 있다면.,협박 대화
이과장 잠깐 와보게 차장 이번 손해가 막심하네네 알고있습니다 말이지 를 메야 네 왜 내가 메야겠나 부사장인 내??그래도 저 있습니다 이번 잘 내가 네????,직장 내 괴롭힘 대화
너 옷 뭐냐 요지 오욕 ? 요지 응? 왜? 아니 무슨 가모 시장바닥에서 산 것마냥 촌스러워서 좀 제대로 된 옷 좀 뫼 오욕 입고다녀 너랑 다니기 창피하다 어머니 굴욕 이거 엄마가 사준건데 뜻 . 아 그래 모친 ? 입성 모친 부끄러움 비소 너희 엄마 엄니 납골당 안목 자식 구리다 우리 엄마 욕 하지마.! 욕하는게 아니라 그냥 말한건데? 치욕 왜 적금 기분나빠?,기타 괴롭힘 대화
나 20만원만 빌려줘라 돈 없는데 필요해서 그래 진짜 돈 없다니까? 에 줄. 아이패드도 빌려가서 아직 안줬잖아랑 같이 줄테니까 고 자꾸 내게 사람을알겠어. 한테 말지금 당장 받아와. 안오면 알? 알겠어,갈취 대화
너희부모님 장애인며? 넌 왜 ?무슨근거 말을 해? 소문 너 부모님 만들어줘? 다자 왜 너가 에 안 그만 괴롭히면 ? 돼 스트레스가 풀릴때까지 계속이야 신고할거야 어디! 내가 너 가만히 안둘테니 언젠가 내가 안,기타 괴롭힘 대화
