idx,class,conversation
4001,일반 대화,"집에서 자주 만드는 음식 있어?
응, 김치찌개 자주 만들어.
오, 김치찌개! 어떤 맛으로 만들어?
좀 맵고 짭짤한 맛으로 만들어.
김치찌개는 진짜 집밥의 대표적인 음식이지.
맞아, 국물이 정말 맛있어.
그럼 고기나 두부 넣어서 만들어?
보통 돼지고기랑 두부 넣어서 해."
4002,일반 대화,"너는 어떤 장르 좋아해?
나는 록 음악을 좋아해.
오, 록! 그럼 Queen 좋아해?
당연하지, 'Bohemian Rhapsody'는 진짜 명곡이지.
록은 항상 힘이 느껴지는 것 같아.
맞아, 그런 에너지가 너무 좋아.
다른 록 밴드도 좋아해?
AC/DC나 Led Zeppelin도 좋아해."
4003,일반 대화,"오늘 점심 뭐 먹을까요?
저는 김밥 먹고 싶은데, 다른 사람들은 어떻게 생각해요?
저는 괜찮아요. 김밥도 좋은 선택이죠.
그럼 김밥으로 정할까요?"
4004,일반 대화,"과제 다 했어?
아직이야. 너무 많아.
나도 겨우 끝냈어.
우리 같이 도서관 갈래?"
4005,일반 대화,"이 장난감은 여러 가지 색상 중에서 선택할 수 있나요?
네, 다양한 색상이 있어서 선택할 수 있어요.
그럼 저는 파란색으로 선택할게요.
좋아요, 파란색 정말 예뻐요!"
4006,일반 대화,"상품 설명과 다르게 품질이 너무 낮아요.
죄송합니다. 저희가 상품에 대해 충분히 설명드리지 못한 점 사과드립니다.
이런 경우 어떻게 보상받을 수 있나요?
상품을 반품하시면 전액 환불 처리해드리겠습니다."
4007,일반 대화,"요즘 뭐 먹을까?
난 요즘 떡볶이에 빠졌어.
오, 떡볶이 맛있지! 매운 거 좋아해?
응, 매운 거 좋아해서 더 맛있어.
그럼 오뎅도 넣어서 먹어?
오뎅도 좋아하지! 국물까지 완벽해.
떡볶이는 언제 먹어도 좋더라.
맞아, 길게 늘어지는 떡볶이가 최고지."
4008,일반 대화,"저기요, 혹시 종로역이 어디죠?
네, 저쪽으로 쭉 가면 나와요.
감사합니다!
천천히 가세요."
4009,일반 대화,"과제 다 했어?
아직이야. 너무 많아.
나도 겨우 끝냈어.
우리 같이 도서관 갈래?"
4010,일반 대화,"주차장 길이 너무 좁은데, 여기서 주차할 수 있을까?
이런 좁은 길에서는 주차가 조금 어려워.
그렇다면 다른 곳을 찾아봐야겠다.
그래, 다른 공간을 찾아보자."
4011,일반 대화,"좋아하는 화가 있어?
빈센트 반 고흐 진짜 좋아해.
별이 빛나는 밤 너무 예쁘지.
맞아, 감성이 정말 대단해."
4012,일반 대화,"상태가 나아지지 않아서 너무 걱정돼요.
이해합니다. 치료 방법을 재검토하고 더 효과적인 방법을 적용하겠습니다.
그럼 치료가 더 효과적으로 될까요?
치료를 조정해서 더 나은 결과를 도출할 수 있도록 하겠습니다."
4013,일반 대화,"중증 급성 질환으로 긴급 치료가 필요합니다.
치료가 늦어지면 더 큰 위험이 있을까요?
네, 즉시 치료를 시작해야 합니다.
그러면 어떻게 치료가 이루어지나요?
우선 약물 치료와 함께 집중 치료를 병행할 것입니다."
4014,일반 대화,"너 이번에 몇 번째 유원지 왔어?
이번이 네 번째야.
오, 많이 왔네! 재미있었어?
항상 재밌어. 매번 새로운 느낌이야."
4015,일반 대화,"이 근처에 맛있는 카페 알아?
응, 여기 근처에 새로 생긴 카페 있어.
어떤 카페야?
그 카페는 커피가 진하고 분위기도 좋더라.
그럼 거기 가보자.
좋아, 거기 간 지 오래됐어.
알겠어, 이 길 따라가면 돼?
응, 바로 앞에 있어."
4016,일반 대화,"선생님, 시험 공부 어떻게 해야 해요?
먼저 기초부터 확실히 다지고, 기출 문제를 풀어보세요.
기출 문제는 어디서 찾죠?
교재 뒤에 기출문제 부분이 있어요."
4017,일반 대화,"음식이 너무 맵습니다.
맵게 나와서 불편을 드려 죄송합니다. 덜 맵게 조리해 드릴게요.
그럼 새로 음식을 가져다줄 수 있나요?
네, 덜 맵게 준비해 새로 가져다 드리겠습니다."
4018,일반 대화,"선생님, 이 단어 뜻이 뭐예요?
그 단어는 '행복하다'라는 뜻이에요.
아, 그럼 이 문장은 어떻게 해석하죠?
이 문장은 '나는 행복하다'라는 뜻이에요."
4019,일반 대화,"너무 지루해요. 할 일이 없네요.
병원에서는 잠시 쉬면서 치료에 집중하는 게 좋습니다.
그럼 책이나 스마트폰을 사용해도 되나요?
네, 그렇게 하시면 됩니다. 다만 너무 오래 사용하지 않도록 하세요."
4020,일반 대화,"좋아하는 음료수 있어?
나는 아이스 아메리카노 좋아해.
아이스 아메리카노! 진짜 맛있지.
그렇지, 커피는 아메리카노가 제일 맛있어.
그리고 아이스라 더 시원해서 좋아.
맞아, 여름에 마시면 정말 좋지.
그럼 자주 마셔?
매일은 아니지만 자주 마셔."
4021,일반 대화,"요즘 인기 있는 가수 누구야?
뉴진스랑 세븐틴이 대세래.
한 번 찾아봐야겠다.
노래 스타일도 좋더라."
4022,일반 대화,"기분 전환할 때 듣는 음악 있어?
응, 팝 음악 듣고 기분 좋게 시작해.
팝 좋지! 최근엔 어떤 곡 좋아해?
최근엔 Ed Sheeran의 곡이 좋더라.
그 곡들은 정말 감성이 살아있어.
맞아, Sheeran의 음악은 언제 들어도 좋지.
그럼 다른 팝 아티스트도 좋아해?
Ariana Grande도 좋아해, 그녀의 목소리가 매력적이야."
4023,일반 대화,"오늘은 어디 가?
그냥 동네 산책 중이야.
혼자서 산책하는 거야?
응, 오늘은 혼자 걷고 싶어서.
그럼 오늘 날씨도 좋으니까 기분 좋겠다.
맞아, 밖에 나가니까 기분이 한결 나아.
산책하면서 마음도 편안해지는 것 같아.
그럼 계속 걸으면서 여유를 느껴보자."
4024,일반 대화,"너무 지루해요. 할 일이 없네요.
병원에서는 잠시 쉬면서 치료에 집중하는 게 좋습니다.
그럼 책이나 스마트폰을 사용해도 되나요?
네, 그렇게 하시면 됩니다. 다만 너무 오래 사용하지 않도록 하세요."
4025,일반 대화,"안녕! 요즘 어떻게 지내?
안녕! 요즘 바쁘게 지내고 있어.
무슨 일 때문에 바빠?
새로운 프로젝트가 시작돼서 준비 중이야.
그거 정말 힘들겠다!
응, 하지만 재미있는 부분도 많아.
그럼, 일이 잘 풀리길 바랄게.
고마워, 너도 잘 지내!"
4026,일반 대화,"좋아하는 화가 있어?
빈센트 반 고흐 진짜 좋아해.
별이 빛나는 밤 너무 예쁘지.
맞아, 감성이 정말 대단해."
4027,일반 대화,"이 길은 처음 가봐.
여기 길은 꽤 조용하고 예쁜 곳이 많아.
그래? 그럼 이 길을 좀 더 걸어보자.
응, 이 길 끝에 작은 카페도 있어.
그 카페는 분위기가 되게 아늑해.
그러면 거기서 잠깐 커피 마시고 가자.
좋아, 오늘은 커피 한 잔 해야겠어.
그럼 바로 가자!"
4028,일반 대화,"오늘 분위기 정말 좋네요.
네, 오늘 다들 기분 좋게 왔네요.
그러게요, 술도 잘 넘어가고!
그럼 건배 한 잔 합시다!"
4029,일반 대화,"아빠, 주말에 어디 갈까?
음, 등산이나 갈까?
좋아요! 간단히 도시락도 싸 갈까요?
그거 좋네. 네가 준비해줄래?"
4030,일반 대화,"오늘 도시락 뭐 싸왔어?
김밥이랑 계란말이!
맛있겠다~ 나눠 먹자.
그래, 같이 먹자!"
4031,일반 대화,"주차장 길이 너무 좁은데, 여기서 주차할 수 있을까?
이런 좁은 길에서는 주차가 조금 어려워.
그렇다면 다른 곳을 찾아봐야겠다.
그래, 다른 공간을 찾아보자."
4032,일반 대화,"상환 기한이 넘었습니다. 더 이상 연체를 허용할 수 없습니다.
그럼 언제까지 상환을 완료해야 할까요?
오늘 중으로 상환을 완료하지 않으면, 채권 추심 절차를 시작할 수 있습니다.
최대한 오늘 안으로 준비하겠습니다."
