conversation,class
"이번 주말에 함께 바베큐를 하기로 . 고기와 야채를 하고, 함께 즐거운 을 보낼 계획이야 좋은 이야! 가족과의 는 항상 특별하니까 어떤 준비할 거야 맥주와 음료수 준비할 이야.",일반 대화
"에 가족과 함께 바베큐 하기로 . 와 야채를 준비하고, 함께 시간을 보낼 이야 좋은 계획이야! 가족 항상 특별하니까. 어떤 도 준비 거야? 시원한 와 음료수를 준비할 이야",일반 대화
"이 근처에 맛있는 식당 추천해줄래? 이탈리안 좋아해? 길 건너에 파스타 맛집 있어. 가격대는 어떻게 돼? 메인 요리가 1만 5천원에서 2만원 정도야. 오, 괜찮네. 예약해야 해? 주말에는 예약하는 게 좋을 거야. 오늘 저녁에 가보려고 하는데. 평일 저녁이면 괜찮을 거야. 6시 논에 가면 자리 있을 거야. 고마워. 추천 메뉴 있어? 트러플 크림 파스타가 이 집 시그니처야. 꼭 먹어봐.",일반 대화
"이 근처에 맛있는 식당 추천해줄래? 이탈리안 좋아해? 길 건너에 파스타 맛집 있어. 치대는 어떻게 돼? 메인 요리가 1만 5천원에서 2만원 정도야. 오, 괜찮네. 예약해야 해? 주말에는 예약하는 게 좋을 거야. 오늘 저녁에 가보려고 하는데. 평일 저녁이면 괜찮을 거야. 6시 전에 가면 자리 있을 거야. 고마워. 추천 메뉴 있어? 트러플 크림 파스타가 이 집 시그니처야. 꼭 먹어봐.",일반 대화
"민수야, 주말에 뭐해? 특별한 계획은 없어. 왜? 같이 영화 볼래? 새로 개봉끝 액션 영화가 있대. 좋아! 언제 볼까? 토요일 저녁 7시 어때? 괜찮아. 어느 영화관으로 갈까? 집 근처 CGV로 할까? 할인 이벤트 하던데. 좋아. 예매는 내가 할게. 고마워. 밥도 같이 먹자. 영화 보고 나서 먹을까? 근처에 맛집 많던데.",일반 대화
"민수야, 주말에 뭐해? 특별한 계획은 없어. 왜? 같이 영화 볼래? 새로 개막한 액션 영화가 있대. 좋아! 언제 볼까? 토요일 저녁 7시 어때? 괜찮아. 어느 영화관으로 갈까? 집 근처 CGV로 할까? 할인 이벤트 하던데. 좋아. 예매는 내가 할게. 고마워. 밥도 같이 먹자. 영화 보고 나서 먹을까? 근처에 맛집 많던데.",일반 대화
"분이.형!버스버스 저죠한번. 저요와요 제가 어떻게 알 ? 시간표. 여기 형님처럼 보이는 형!?형님,.없어서요. 혹시 동네 저형 버스 모르겠네요. 물어보려고 왜 저를 처음이라고 부르세요? .했어요 , 그냥 친근하게 배터리 ,. 혹시 아세요 네 앱 모르겠어요? 가, 한데 근데가 거의 없어요 죄송해요 괜찮아요. 언제네아세요? 찾아볼게요아 이 정류장 몇 번인지 있긴?죄송해요제도 이 ?는 는저기 잘 있으세요. 아밖에 이라 정보가 있네요!잘찾았어요. 다행이네요 어디 가시는 길이에요?",일반 대화
"형! 형! 버스 언제 ? 가 어떻게 ? 네 여기 형님처럼 보이는 분이 형님 . 아세요저는 잘 모르겠네요. 근데 저를 형 부르세요? 아, 죄송해요 그냥 친근하게 했어요. 혹시 버스 앱 있으세요? 네, 있긴 한데 배터리 . 괜찮아요. 제 한번 찾아볼게요. 이 정류장 몇 ? 저 동네는 아, 버스 정보가 있네요! 찾았어요 가시는 길이에요",일반 대화
"흥미로운교수님 생각, 김학생. 무슨의님지?싶습니다해줄게 하고에 대해를조언을 구주제 을 논문, 의 아하고 있니? 인공지능 AI윤리적 측면에.대해 연구개 싶습니다 강 주제네. 구체적? 방향정말 생각해봤니 네천만 의료 분야주제 은 활용과싶습니다관련된 윤리 문제를.다루고 . 좋은 생각이야. 관련 그래들. 몇 해보고 추천 .자세히인 감사합니다,어떤교수일이 ,에.주다음 논문에 더 이야기해보자.",일반 대화
"강교수님 아, 김학생. 무슨 일이지? 논문 주제에 대해 조언을 구하고 싶습니다. 그래, 어떤 주제를 생각하고 있니? 인공지능의 윤리적 측면에 대해 연구해보고 싶습니다. 흥미로운 주제네. 구체적인 방향은 생각해봤니? 네, 의료 분야의 AI 활용과 관련된 윤리 문제를 다루고 싶습니다. 좋은 생각이야. 관련 논문들을 몇 개 추천해줄게. 정말 감사합니다, 교수님. 천만에. 다음 주에 더 자세히 언어해보자.",일반 대화
"주말에 뭐해? 특별한 계획은 없어. 그냥 쉬려고 너는? 계획 없는데, 공원 산책? 이야! 어느 ? 공원은 어때? 날씨도 좋을 것 . 몇 시에 만날까? 오후 3시? 그때 햇빛이 강하지 않아서 같아. . 어디서 만날까?한강역 2번 출구 어때 좋아, 거기 . 간식도 좀",일반 대화
"주말에 뭐해? 특별한 고공 확신 사상 계획은 남자 산보 없어. 그냥 쉬려고. 너는? 나도 녀석 소유물 별 계획 없는데, 같이 공원 산책할래? 백금 백금 좋은 생각이야! 어느 공원? 한강 공원은 플러스 어때? 날씨도 좋을 것 같아. 고공 좋아! 식 몇 매 시에 만날까? 오후 3시 고공 쯤 식 ? 그때 고도 햇빛이 강하지 않아서 좋을 직공 것 같아. 완벽해 탄소 대지 고공 . 어디서 물 만날까? 한강역 2번 직공 출구 지역 어때? 좋아 낮 , 거기서 보자. 간식도 좀 가져갈게.",일반 대화
"선배, 동아리에서 뭐 할 거예요? 우리는 이번 학기에 특별 프로젝트가 있어. 와, 멋지네요! 어떤 프로젝트죠? AI 관련 프로젝트야. 데이터 분석하고 모델 창안하 거야.",일반 대화
"선배, 동아리에서 뭐 멋지네요 거야? 우리는AI관련 예요데이터 특별 거야. 있어 와,.할! 어떤 프로젝트죠? 이번 프로젝트하고가 에 분석학기 모델 만들 프로젝트.",일반 대화
"음료 장 에 얼음이 너무 액체 많이 들어 있었어요. 땡 죄송합니다. 주문 시 얼음 양을 조절해야 하는데 전달하 스피드 술 물 실수 숙명 가 있었습니다. 그럼 다시 새 음료를 보내주실 수 법칙 명분 있나요? 네, 새 사이 음료를 준비해서 보내드리겠습니다.",일반 대화
음료 이 많이 있었어요 . 시 양을 조절해야 실수가 있었습니다. 그럼 새 음료 수 있나요? 네 음료를 준비해서 보내.,일반 대화
