conversation,class
가능성과장 라인 없습니다 타.님누가 회사 이끄는?건데.하면 아무래도 이건 부당한 것 같습니다. 김과장이 그렇다하면 어쩔 건데 그러니까있어네가 아직도이과장인 는 하늘 부끄럼 없습니다 거야시대에 아직도 이런 사람이 있네 네 알아서 되나요라 같은요즘답답 는아니면오히려 방해돼 부장님이 그러시면센터저는 사내 신고갈 에너 수밖에 잘 이번자네 건 나협박하는 거야? 자신 ? 두고봐 아니에요. 하자같은 제가안건너 해? 물 좀 . 지금 따오면 부장다음 승진도저잘 뭘 간거다 물론 넌 못할 김 높겠지만 네 알겠습니다,직장 내 괴롭힘 대화
김 라인 타. 누가 회사 건데 아무래도 이건 부당한 것 김과장이 어쩔 건데 그러니까 인 없습니다 같은 시대 사람이 있네 네 알아서 해 너같은 답답이는 방해 부장님 그러시면 는 사내 신고 센터에 수밖에 없습니다 지금 나 협박하는 ? ? 두고봐 아니에요. 부장 제가 뭘 되나요? 좀 하자. 이번 다음 승진도 물 간거다 물론 높겠지만 알겠습니다,직장 내 괴롭힘 대화
이게 어떻게 야.? 엄마 수술은 어떻게 된거냐고 엄마가 이제 괜찮다고 해서 딱 봐도 많이 좋아지셨잖아. 수술까진 필요 보여서. 그걸 왜 누나가 ? 누나가 의사야? 가서 정밀검사 받아 해야지 큰 병이면 어쩌려고 ? 아 늙어서 몸도 성하지 사람 수술해서 어쩔 그럼 내 준 수술 어. 급하다고 해서 내 다 빼서 줬잖아 어딨냐고 곳에 . 곳 데 어디다 썼는데. 고 살면 돈 나가는 곳 한 군데? 이것 저것 곳 돈 썼지 말 알아 야? 못 보던건데 누나 또 샀어? 아 내놔 니 알아. 아니야 이거 원래 있던거야. 니가 그러고도 ? 그게 어떤돈인데!!!!!!!!!!!! 가 밤낮 못자가면서 번 비하라고 다 빼서 가 을 쳐 사는데 ??????????? 시끄러워 나 바빠 가야해. 이성 잃은 듯 너같은 년이 너같은 가치가 없다. 가 죽어 너가 !!!!!!!!!!! 왜.왜이래??! ? 못참겠다. 몇 년 이게 몇 번째야? 이 짓거리 하도록 널 병신 만드는게 낫겠다 팔 다리 부러뜨야 밖 싸돌아 다니지 발목을 아주 잘라버려야겠어. 주변에 흉기 찾는다 미.미쳤어 이렇게 흥분해?!?!? 구함에 있던 를 너 가 오늘 가만 . 미친 건 너야. 팔다리를 없애버리겠어. 꺄아아,협박 대화
이게 어떻게 된거야.? 엄마 수술은 어떻게 된거냐고 엄마가 이제 괜찮다고 해서 딱 봐도 많이 좋아지셨잖아. 굳이 수술까진 할 필요 없어보여서. 뭐? 그걸 왜 누나가 정해? 누나가 의사야? 병원가서 정밀검사 받아보고 해야지. 큰 병이면 어쩌려고 그래? 아 늙어서 몸도 성하지 않는 사람 수술해서 뭐 어쩔건데???? 그럼 내가 준 수술비는 어쨌는데. 급하다며 급하다고 해서 내가 돈 다 빼서 줬잖아. 그거 어딨냐고 !!!!!!!!! 그건 다른 급한 곳에 썼어. 하. 급한 곳? 뭔데 어디다 썼는데. 엄마 모시고 살면 돈 나가는 곳이 한 두 군데니? 이것 저것 급한 곳들 돈 썼지. 니가 말하면 알아? 이건 뭐야? 못 보던건데. 누나 또 명품샀어? 아 내놔!!!!!!!! 니가 뭘 알아. 아니야 이거 원래 있던거야. 하. 니가 그러고도 인간이야? 그게 어떤돈인데!!!!!!!!!!!! 내가 밤낮으로 잠도 못자가면서 번 돈 !!!!!! 엄마 수술비하라고 다 빼서 준 걸 니가 가방을 쳐 사는데 써??????????? 아 시끄러워. 나 바빠 가야해. 이성을 잃은 듯 너같은 년이 죽어야하는데. 너같은 년은 살 가치가 없다. 너가 죽어 너가 !!!!!!!!!!! 왜.왜이래??! 미쳤어? 이제 도저히 못참겠다. 몇 년 동안 이게 몇 번째야? 이 짓거리 못하도록 그냥 널 병신 만드는게 낫겠다. 팔 다리를 부러뜨려야 밖으로 안싸돌아 다니지? 발목을 아주 잘라버려야겠어. 가장자리에 흉기를 찾는다 미.미쳤어 왜이렇게 흥분해?!?!? 공구함에 있던 망치를 들며 너 내가 오늘 가만 안둬. 미친 건 너야. 팔다리를 없애버리겠어. 꺄아아아,협박 대화
이사. 도사진. 그룹 않으실텐데요? 이 . 이사님눈치 여기냐이건오신거 다 없는 분 덕 아니셨어요?중요해요별것사모님 장인어른 대 출신에서이모르지 거 다바람데릴사위로 팔려나가서 된거!찍은거야소문이 자자하던데좋네요. 지르실?삶그게 ? 만말 불쌍하시지 면에서 데려와이사개룡으로 만들어놨더니 어린 여자라 이나 피고어디서 이야. . 이 사진을 보시개천 얼마나 슬퍼하시겠어요. 님 원하는게 뭐야 는 이그렇지뭐빠르셔서 . 역시지금그룹 이사 뭐 달라은이얼마나가살다르세요. 원하는게 님까지고라고 아 깜짝이야! 저한테 소리 도처지에요10억 ..본론도 .해 ? 딱 10억만 준비해주세요.되신그러면 저도 건너가서 새 고 이사님말 조심하시면서.사시고사모님 고 좋아요?,갈취 대화
이사님 이 사진. 않으실텐데요? 이. 이건. 이사 여기까지 오신거 다 장인어른 분 덕 아니셨어요? 별것도 없는 대 출신에서 그룹 이사 거 다 나가서 라고 소문이 자자하던데. 그게 중요해요? 사모님도 불쌍하시지 개천에서 데려와 어린 여자라 이나 말. 사모님이 이 을 얼마나 .. 뭐야. 그렇지 는 빠르셔서 좋네요. 역시 그룹 이사님 달라 다르세요. 뭐냐아 깜짝! 지금 처지 .만 해. 10억 딱 10억만 해주세요 그러면 저도 건너가서 새 살고 사시고. 얼마나 ?,갈취 대화
지금 랑 고 한거야? 죽고싶어? 내가 헤어지자고 말하면 잘라 했지 무서워 입도 잘라버리고 다리도 잘라 다시한번 말 이러는 너의 모습 는? 너도 죽이고 너희 부모님 죽여버릴거야 신고할거야 신고 전에 버릴거니까 무서워,협박 대화
너 지금 나랑 비렁뱅이 헤어지자 비렁뱅이 고 한거야? 죽고싶어? 세대 소 그만하자 리포트 너 내가 헤어지자고 말하면 입 리포트 잘라버린다고 했지 무서워 국부 그러지마 입도 구설 잘라 노고 버리고 가축 다리도 잘라버릴거야 용마 . 다시한번 구린내 말해봐 이러는 너의 모습에 지쳤어 헤어지자는거지 소리 가족 ? 너 고초 손 도 동정 죽이고 너희 해 부모님도 죽여버릴거야 신고할거야 신고해봐. 그 전 현생 고초 에 없애버릴거니까 무서워,협박 대화
철수얘기씨 그렇잖아요그할 나와서 그 받고태어나도 만해면?말그게 살 말씀없을시죠 아니 열심히가 도 좋지는않고 살 않은데도?낮은데 살기연봉힘들지 않나 해서.있어요그건 제. 할 일이죠학교 저는.그냥 걱정돼서. 앞으로 상황이 나아질 말 같지도 수준. 이 없네요.다시그렇죠 가 없으니불가능할할 것도무슨 . 저는 그래도 열심히 살없으시겠죠 . 싶네요 연봉요.뭐해요. 나아지는 게 이 텐데 . . 것 같고학교고그만 하고알아서미래,기타 괴롭힘 대화
철거 씨는 그 학교 나와서 그 연봉 받고 살만해요? 그게 무슨 말씀이시죠? 아니 그렇잖아요. 학교도 좋지 않고 연봉 수준도 낮은데 살기 힘들지 않나 해서. 그건 제가 알아서 할 일이죠. 저는 그냥 걱정돼서. 앞으로 상황이 나아질 것 같지도 않은데. 할 말이 없네요. 그렇죠 미래가 없으니 할 말도 없으시겠죠. 저는 그래도 열심히 살고 있어요. 열심히 살면 뭐해요. 나아지는 게 없을 텐데. 다시 태어나도 불가능할 것 같고. 그만 얘기하고 싶네요.,기타 괴롭힘 대화
