idx,class,conversation
3710,갈취 대화,가 안녕하세요 우리의 사랑하는 거래처사장님 나 안녕하세요 잘 지내시죠 가 예예 덕분에 다름이 아니라 회사가 조금 어려워서 거래처에 돈을 좀 모금받고 있습니다 나 네 모금이요 가 네 앞으로 우리랑 쭉 거래하고 싶으면 모금에 협조 좀 해주시죠 나 갑자기 무슨 말씀이십니까 갑질이 너무 심한 거 아닙니까 가 우리가 거래 끊으면 거기 바로 폐업 신고해야해 좋은 말 할때 값 붙여 나 저희도 힘들어요 몇 백이 작은 돈도 아니고 가 그럼 나도 거래처는 많아 거래 끊을테니 잘 생각하고 내일까지 붙여 나 정말 너무하시네요
3711,갈취 대화,너 이자식 빨리 돈 안내놔 기다려 보라니까 돈주는게 어디 그렇게 쉽나 너 녀석이 시간 끌어서 경찰 데려오려는것 다 알아 그래서 어쩔건데 죽여야지 빨리 돈 줘 연륜 죽이면 너 죄는 가중되고 돈도 없을 텐데 너 이 자식 고문 한다고 하더라도 난 돈을 안줄거야 뭐야 어처피 날 죽일건데 너 진짜 이세상에서 흔적을 아예 없애줘 어디서 이 자식이
3712,갈취 대화,의원님 안녕하세요 혹시 시간 되시나요 네 무슨 일이시죠 다름이 아니라 이런 사진을 구했는데요 이걸 어디서 구하셨나요 합성인 것 같은데요 아뇨 제가 직접 찍었습니다 불륜 저지르시고도 뻔뻔하시네요 거짓말도 잘하시고 춘추 아니라니까 갑자기 이러시는 이유가 뭡니까 이렇게 거짓말 잘 하시는 거 국민들이 알면 어떻게 될까요 이러는 이유가 뭐냐구요 지지자로써 의원님께서 오래오래 의원직하셨으면 좋겠어서요 그냥 저한테 딱 억만 보내주시면 없던 일로 해드리겠습니다 뭐 미친 놈 억이 누구 집 개 이름이야 싫으시면 그냥 얼마전에 따님 낙하산으로 꽂아넣으신 것도 같이 겸사겸사 뉴스에서 보시구요 조금만 시간을 줘 너무 오래는 안 됩니다 억이면 싼 가격이죠
3713,기타 괴롭힘 대화,저기요 그만 따라오세요 네 저 말이에요 네 그쪽 아까부터 지속성 저 따라오고 있잖아요 아닌데요 우연히 방향이 같은 것뿐이에요 거짓말 마세요 제가 멈춰 설 때마다 똑같이 멈추던데 내 걸음 내가 마음대로 가지도 못해요 연예인 병이야 뭐야 지속성 따라오면 신고할 거에요 아 글쎄 나도 이쪽으로 가는 길이라니까 그러네 웃기는 아가씨야 분째 지속성 같은 방향으로 오고 있는 거 제가 모를 줄 알아요 내가 몰카를 찍었어 뭘 했어 신고해봐 아무 일도 없었잖아
3714,갈취 대화,아 네 안녕하세요 혹시 가지고 계신 폰이 제 건데 어디서 주웠는지 알 수 있을까요 아 길동사거리 횡단보도 앞에서 주웠는데요 아 그럼 제가 길동사거리 앞으로 가지러 나가면 되는건가요 그렇게 쉽게 못 넘겨주고요 뭐 오는 전화 보니까 중요한 폰 같던데 만원만 주세요 아니 제 폰인데 왜 돈주고 받아야 해요 싫으면 마시던가요 그냥 여기 하천에 빠트리면 되는거죠 저 다음 날 중요한 회사 미팅 전화 올 거 있어서 그 폰 꼭 필요해요 제발 돌려주세요 그니까 만원 보내라고 만원 보내는 게 어려워 곧 보낼게요 먼저 돌려주시면 보내드릴게요 내가 호구로 보이냐 엄선 입금해 물품보관소에 맡겨두고 갈거니까 네 말씀하신대로 할테니까 꼭 물품보관소에 보관해주세요
3715,협박 대화,이봐요 아가씨 이렇게 해도 되는거야 손님 죄송합니다 내가 여기 단골이야 사장님 어디있어 손님 이건 본사 지침이라 어쩔 수가 없어요 됐고 당장 불러와 사장 연락해드리겠습니다 여기 단골인데 이거 하나 못해줘 진짜 어이가 없어서 죄송합니다 내가 말만 하면 이 매점 다신 못 열어 죄송합니다
3716,협박 대화,아줌마 다음주부터 여기서 내가 타코야끼 팔테니까 아줌마는 다른데가서 붕어빵 팔아 저여기서 년 팔았어요 년 팔고 나발이고 많이 팔았으면 이제 양보도 하고 그래야지 저는 어디가서 하라고 그러세요 그거야 나이 알바 아니고 그냥 사이좋게 같이 팔면 안될까요 제정신이야 붕어빵이랑 타코야끼 같이 팔자고 나란히 둘다 죽자는거아니야 흑 진짜 갈데가 없어서 그래요 제가 이동네서도 오래 살았고 지금 동네 부심 부려 확 씨 쳐맞고 갈거야 그냥 갈거야 그냥갈게요
3717,갈취 대화,여기 여기이봐 네손님 무슨일이시죠 이거 보여 이 머리카락 뭐냐고 아죄송합니다 얼른 다시 만들어 드릴게요죄송합니다 이봐죄송하다면 다야 내가 이거 먹고 탈이라도 나면 어떻게 하려고나 지금 기분도 잡쳤고 병원에도 가야겠으니까 만원 내놔 죄송합니다근데 그건 좀 내가 여기 문닫게 해볼까내가 누군 줄 알어 그래서 죄송하다고 뭐그래서 못 주겠다는거야너 두고 봐내가 블로그고 어디고 싹 다 올려서 이 가게 입구 닫게 할테니 그래도 손님 그래서 제가 계속해서 죄송하다고
3718,기타 괴롭힘 대화,학원선생님 우리아이가 성적이 안오르니 더이상 못보내겠어요 모 제가 우리 철수는 성의껏 가르쳤는데 아직 기초가 부족하니 이번 방학까지 더 신경쓰겠습니다 뭐래요 선생님께 개월 보냈으면 벌써 몇등은 올라야하는거 아니예요 우리 철수가 이 부분 기초가 부족해서 개념부터 다시 잡느라고 시간이 좀더 걸립니 결국 우리애 탓이라는거잖아선생님 실력이 없으면서 뭐 애탓을 하고 그래요 모 그게 아니라 정 그러시면 다음주까지 정리하겠습니다달 수업비 연체되신거 정리해주시고 교채챙겨보내겠습니다 이 선생 안되겠구만 똑바로 가르쳐주지도 않고 돈부터 밝히고성적이 그대로인데 학원비를 내가 왜 내 모 그건 아니죠 그딴식으로 애들가지고 장사하면 내가 인터넷에 제대로 글 올릴거야 애들장사 앞으로 더하려면 돈밝히지마요
3719,갈취 대화,해당업체에 현수막 주문을 하려고 합니다 주문을 하시려면 결제를 먼저 해주셔야 하십니다 우리가 거기 거래 한지 년이 넘었는데 외상으로 안됩니까 이건 회사내 방침이라 죄송합니다 아니 해당업체가 이런식이면 앞으로 거래는 여기서 못하죠 괴사 방침인데 왜 거래 이야기까지 나오십니까 괴사 방침이던 뭐던 단골한테 외상 한 번 해줄 수 있는거죠 저희가 외상으로 못받은 돈들이 좀 있어서요 죄송합니다 누가 떼어먹는데요 준다니깐요 나중에 알겠습니다
