idx,class,conversation
29,기타 괴롭힘 대화,"병신이 아이스크림 먹게 돼 있냐?
난 먹으면 안 돼? 그만 좀 해.
당연히 안 되지 너 공부 개못하는 찐따잖아.
야 닭대가리가 말도 하네 동물농장 나가자.
너네 학교폭력으로 신고하기 전에 그만 해.
아이고 무서워라 살려주세요 으헝헝
제발 좀 저리 가.
나였으면 아이스크림 먹을 시간에 공부한다.
멈춰!
저러니까 쳐맞고 다니지"
31,기타 괴롭힘 대화,"니가 나 따라한다는 애구나?
 내가? 나 너 안따라해.
머라는거야. 여기 사진 다 있거든. 너 내가 누군지 모르지? 너 한번 찍혀야 정신차리냐?
아니야 나. 나 진짜 아니야. 이거 나 아니야.
애 머래니? 작작 좀 나대.
진짜로 나 진짜 아니야 나 이런대 가보지도 않았어.
야 니가 내 썸남한테 꼬리쳤다며 거짓말 하지마 내가 다 듣고 이러는거거든?
진짜 나 아니야. 나랑 닮은 앤가봐.
야 재 입 좀 어떻게 하자.
애들아 제발 이러지 말아줘. 선생님한테 말할거야."
34,기타 괴롭힘 대화,"야 손병신.
하.
한숨 쉬었어? 야 손병신.
그렇게 부르지마.
뭐? 병신한테 병신이라 그러는데.
그렇게 말하지 말라고.
야 병신아. 너 손이 그래서 똥은 어떻게 닦냐?
그런 말 하지 말라고.
이 새끼가 형님이 말하는데 말대답이야?
아 때리지마.
으이구 병신 새끼!"
94,기타 괴롭힘 대화,"야 니 왤캐 못생겼냐?
뭐라그랬냐?
으 나 보고 말하지마 니 얼굴보면 토나올거 같어
너 말이 심하다??
우웩 맷돼지가 말을하네 니 그얼굴로 다니면 안쪽팔리냐?
야 그만하라했다
난 사실을 말한것 뿐이잖아 내가 뭐 틀린말 했니?
나 좀 그만 괴롭혀
내가 니 얼굴이였으면 난 그냥 안살았을듯 니 참 대단하다 
진짜 그만해"
114,기타 괴롭힘 대화,"너 일로 따라와봐.
왜 그러는데.?
그냥 닥치고 따라오라면 따라와 진짜
어어.
너 잘보니까 국어쌤이랑 닮았다? 너?
헐대박 똑같네
나 아까 국어쌤한테 불려가서 혼난거 알아 몰라. 화풀이상대가 여깄구만!
아 하지마.
뭐? 하지말라고? 벙어리가 말도 하네?
.너네들 신고할꺼야.!.
뭐? 할 수 있음 해보시던가 그냥 짜지고 살라고 학교에서"
262,기타 괴롭힘 대화,"저기요. 잠깐만요
매일 왜이러세요. 전 할말 없어요
그 쪽이 좋아서요
전 관심 없어요. 오지 마세요
한 번만 만나주세요.
제발 이러지 마세요. 전 남자친구 있어요
결혼한 건 아니잖아요. 딱 한번만 데이트해요
내가 왜 그쪽이랑 만나요?
그 쪽이 내 스타일이에요
난 아니거든요."
267,직장 내 괴롭힘 대화,"과장님. 저 이번에 휴가 좀 갔다와도 되겠습니까.?
휴가? 왜??
좀 쉬다가 오고 싶습니다.
너만 쉬고싶어?
그건 아닌데. 다른 직원들은 이번에 다 나갔다왔는데 저만 지금 6개월째 못나갔습니다.
그야 그만큼 너가 일을 잘하니까 좀만 기다려봐!
저번에도 이러시고 안보내주시지 않았습니까.
김대리. 영영 나가고싶어?
죄송합니다.
그래 담부턴 죄송할 짓 하지마"
313,갈취 대화,"어이 이리 와봐. 
네.? 저요?
어 그래 너. 여기 너 밖에 더 있어?
왜 그러시는데요.
가진 거 다 꺼내 봐.
저 돈 없어요.
뒤져서 나오면 십원당 한 대 씩이다.
진짜 이게 다에요.
옷 다 벗어봐.
그러지 마세요."
330,기타 괴롭힘 대화,"야. 찐따야 오늘도 나왔네?
나 좀 내버려둬. 제발
찐따가 오늘 기분이 안 좋나? 왜 그래?
나 그렇게 부르지마
미쳤구나 니가? 찐따야 찐따야
그래 미쳤다. 너랑 말하고 싶지 않아
어쭈? 말하게 해줘? 울게 해줘?
제발 좀 서로 모른 척 하자
싫은데? 내일도 보고 모레도 볼건데?
지겹다 이제. 제발 사라져라"
340,기타 괴롭힘 대화,"으 냄새나
나?
그럼 너지 누구냐
갑자기 왜그러는데
냄새나니까 그러지 좀 저리 떨어져
그냥 지나가던 길이었잖아
꺼지라고 냄새나는놈아
그냥 지나갈 수 있잖아
코가 썩겠는데 어떻게 그러냐 너 냄새난다고 다 소문내야겠다
그러는 이유가 뭔데
사람들 코가 썩을까봐. 아 토나오려한다"
